CountryName,CountryCode,RegionName,RegionCode,Jurisdiction,Date,C1_School closing,C1_Flag,C2_Workplace closing,C2_Flag,C3_Cancel public events,C3_Flag,C4_Restrictions on gatherings,C4_Flag,C5_Close public transport,C5_Flag,C6_Stay at home requirements,C6_Flag,C7_Restrictions on internal movement,C7_Flag,C8_International travel controls,E1_Income support,E1_Flag,E2_Debt/contract relief,E3_Fiscal measures,E4_International support,H1_Public information campaigns,H1_Flag,H2_Testing policy,H3_Contact tracing,H4_Emergency investment in healthcare,H5_Investment in vaccines,H6_Facial Coverings,H6_Flag,H7_Vaccination policy,H7_Flag,M1_Wildcard,ConfirmedCases,ConfirmedDeaths,StringencyIndex,StringencyIndexForDisplay,StringencyLegacyIndex,StringencyLegacyIndexForDisplay,GovernmentResponseIndex,GovernmentResponseIndexForDisplay,ContainmentHealthIndex,ContainmentHealthIndexForDisplay,EconomicSupportIndex,EconomicSupportIndexForDisplay,Flag,Latest Date?
Colombia,COL,,,NAT_TOTAL,20210103,2,0,1,1,1,1,3,1,1,1,1,1,1,1,4,1,1,2,0,0,2,1,2,2,0,0,1,1,2,1,,1675820,43965,60.19,60.19,73.33,73.33,61.56,61.56,59.49,59.49,75,75,FALSE,20210103
Cape Verde,CPV,,,NAT_TOTAL,20210104,3,0,2,1,2,1,3,1,0,,1,1,2,1,1,1,1,,0,0,2,1,3,,0,0,3,1,0,,,11949,113,64.81,64.81,67.86,67.86,53.89,53.89,58.33,58.33,,75,FALSE,20210104
Costa Rica,CRI,,,NAT_TOTAL,20210102,3,1,2,1,2,1,3,1,0,,1,1,2,0,1,1,1,1,0,0,2,1,1,1,0,0,3,1,1,1,,169321,2185,63.89,63.89,66.67,66.67,56.89,56.89,57.95,57.95,50,50,FALSE,20210102
Cuba,CUB,,,NAT_TOTAL,20210103,1,1,2,0,2,1,4,1,1,0,0,,2,0,1,0,,2,0,0,2,1,1,2,0,0,3,1,,,,12424,147,56.48,56.48,60.71,60.71,54.44,54.44,55.13,55.13,50,50,FALSE,20210103
Cyprus,CYP,,,NAT_TOTAL,20210104,2,1,2,1,2,1,4,1,1,1,1,1,2,0,3,2,1,2,0,0,2,1,3,2,0,0,4,1,1,1,,24639,133,74.07,74.07,79.76,79.76,79.11,79.11,75.9,75.9,100,100,FALSE,20210104
Czech Republic,CZE,,,NAT_TOTAL,20210101,3,1,2,1,1,1,4,1,0,,1,1,2,1,3,2,0,1,0,0,2,1,2,2,0,0,4,1,2,1,,732022,11711,69.44,69.44,78.57,78.57,70.44,70.44,71.67,71.67,62.5,62.5,FALSE,20210101
Germany,DEU,,,NAT_TOTAL,20210106,3,1,3,1,2,1,4,1,1,1,2,1,2,0,3,2,0,0,0,0,2,1,3,2,0,0,2,1,2,1,,1841228,37835,85.19,85.19,88.1,88.1,75.44,75.44,81.28,81.28,37.5,37.5,FALSE,20210106
Djibouti,DJI,,,NAT_TOTAL,20210104,1,1,1,1,1,1,4,1,0,,0,,0,,1,1,0,0,0,0,2,1,1,2,0,0,2,1,0,,,5846,61,37.96,37.96,46.43,46.43,36.67,36.67,40.38,40.38,12.5,12.5,FALSE,20210104
Dominica,DMA,,,NAT_TOTAL,20201221,1,1,1,1,2,1,3,1,0,,2,1,0,,2,1,1,1,0,0,2,1,2,2,0,0,3,1,0,,,88,0,50.93,50.93,60.71,60.71,53.33,53.33,53.85,53.85,50,50,FALSE,20201221
Denmark,DNK,,,NAT_TOTAL,20210108,3,1,3,1,2,1,4,1,0,,1,1,0,,3,2,1,2,0,0,2,1,3,1,0,0,2,1,2,1,,,,67.59,67.59,75,75,69.89,69.89,65.26,65.26,100,100,FALSE,20210108
